ano;ente;cod_uf;sig_uf;cod_ibge;nom_ente
2024;Municipal;31;MG;312120;Delfinópolis
2024;Municipal;31;MG;312125;Delta
2024;Municipal;31;MG;312130;Descoberto
2024;Municipal;31;MG;312140;Desterro de Entre Rios
2024;Municipal;31;MG;312150;Desterro do Melo
2024;Municipal;31;MG;312160;Diamantina
2024;Municipal;31;MG;312170;Diogo de Vasconcelos
2024;Municipal;31;MG;312180;Dionísio
2024;Municipal;31;MG;312190;Divinésia
2024;Municipal;31;MG;312200;Divino
2024;Municipal;31;MG;312210;Divino das Laranjeiras
2024;Municipal;31;MG;312220;Divinolândia de Minas
2024;Municipal;31;MG;312230;Divinópolis
2024;Municipal;31;MG;312235;Divisa Alegre
2024;Municipal;31;MG;312240;Divisa Nova
2024;Municipal;31;MG;312245;Divisópolis
2024;Municipal;31;MG;312247;Dom Bosco
2024;Municipal;31;MG;312250;Dom Cavati
2024;Municipal;31;MG;312260;Dom Joaquim
2024;Municipal;31;MG;312270;Dom Silvério
2024;Municipal;31;MG;312280;Dom Viçoso
2024;Municipal;31;MG;312290;Dona Eusébia
2024;Municipal;31;MG;312300;Dores de Campos
2024;Municipal;31;MG;312310;Dores de Guanhães
2024;Municipal;31;MG;312320;Dores do Indaiá
2024;Municipal;31;MG;312330;Dores do Turvo
2024;Municipal;31;MG;312340;Doresópolis
2024;Municipal;31;MG;312350;Douradoquara
2024;Municipal;31;MG;312352;Durandé
2024;Municipal;31;MG;312360;Elói Mendes
2024;Municipal;31;MG;312370;Engenheiro Caldas
2024;Municipal;31;MG;312380;Engenheiro Navarro
2024;Municipal;31;MG;312385;Entre Folhas
2024;Municipal;31;MG;312390;Entre Rios de Minas
2024;Municipal;31;MG;312400;Ervália
2024;Municipal;31;MG;312410;Esmeraldas
2024;Municipal;31;MG;312420;Espera Feliz
2024;Municipal;31;MG;312430;Espinosa
2024;Municipal;31;MG;312440;Espírito Santo do Dourado
2024;Municipal;31;MG;312450;Estiva
2024;Municipal;31;MG;312460;Estrela Dalva
2024;Municipal;31;MG;312470;Estrela do Indaiá
2024;Municipal;31;MG;312480;Estrela do Sul
2024;Municipal;31;MG;312490;Eugenópolis
2024;Municipal;31;MG;312500;Ewbank da Câmara
2024;Municipal;31;MG;312510;Extrema
2024;Municipal;31;MG;312520;Fama
2024;Municipal;31;MG;312530;Faria Lemos
2024;Municipal;31;MG;312540;Felício dos Santos
2024;Municipal;31;MG;312550;São Gonçalo do Rio Preto
2024;Municipal;31;MG;312560;Felisburgo
2024;Municipal;31;MG;312570;Felixlândia
2024;Municipal;31;MG;312580;Fernandes Tourinho
2024;Municipal;31;MG;312590;Ferros
2024;Municipal;31;MG;312595;Fervedouro
2024;Municipal;31;MG;312600;Florestal
2024;Municipal;31;MG;312610;Formiga
2024;Municipal;31;MG;312620;Formoso
2024;Municipal;31;MG;312630;Fortaleza de Minas
2024;Municipal;31;MG;312640;Fortuna de Minas
2024;Municipal;31;MG;312650;Francisco Badaró
2024;Municipal;31;MG;312660;Francisco Dumont
2024;Municipal;31;MG;312670;Francisco Sá
2024;Municipal;31;MG;312675;Franciscópolis
2024;Municipal;31;MG;312680;Frei Gaspar
2024;Municipal;31;MG;312690;Frei Inocêncio
2024;Municipal;31;MG;312695;Frei Lagonegro
2024;Municipal;31;MG;312700;Fronteira
2024;Municipal;31;MG;312705;Fronteira dos Vales
2024;Municipal;31;MG;312707;Fruta de Leite
2024;Municipal;31;MG;312710;Frutal
2024;Municipal;31;MG;312720;Funilândia
2024;Municipal;31;MG;312730;Galiléia
2024;Municipal;31;MG;312733;Gameleiras
2024;Municipal;31;MG;312735;Glaucilândia
2024;Municipal;31;MG;312737;Goiabeira
2024;Municipal;31;MG;312738;Goianá
2024;Municipal;31;MG;312740;Gonçalves
2024;Municipal;31;MG;312750;Gonzaga
2024;Municipal;31;MG;312760;Gouveia
2024;Municipal;31;MG;312770;Governador Valadares
2024;Municipal;31;MG;312780;Grão Mogol
2024;Municipal;31;MG;312790;Grupiara
2024;Municipal;31;MG;312800;Guanhães
2024;Municipal;31;MG;312810;Guapé
2024;Municipal;31;MG;312820;Guaraciaba
2024;Municipal;31;MG;312825;Guaraciama
2024;Municipal;31;MG;312830;Guaranésia
2024;Municipal;31;MG;312840;Guarani
2024;Municipal;31;MG;312850;Guarará
2024;Municipal;31;MG;312860;Guarda-Mor
2024;Municipal;31;MG;312870;Guaxupé
2024;Municipal;31;MG;312880;Guidoval
2024;Municipal;31;MG;312890;Guimarânia
2024;Municipal;31;MG;312900;Guiricema
2024;Municipal;31;MG;312910;Gurinhatã
2024;Municipal;31;MG;312920;Heliodora
2024;Municipal;31;MG;312930;Iapu
2024;Municipal;31;MG;312940;Ibertioga
2024;Municipal;31;MG;312950;Ibiá
2024;Municipal;31;MG;312960;Ibiaí
2024;Municipal;31;MG;312965;Ibiracatu
2024;Municipal;31;MG;312970;Ibiraci
2024;Municipal;31;MG;312980;Ibirité
2024;Municipal;31;MG;312990;Ibitiúra de Minas
2024;Municipal;31;MG;313000;Ibituruna
2024;Municipal;31;MG;313005;Icaraí de Minas
2024;Municipal;31;MG;313010;Igarapé
2024;Municipal;31;MG;313020;Igaratinga
2024;Municipal;31;MG;313030;Iguatama
2024;Municipal;31;MG;313040;Ijaci
2024;Municipal;31;MG;313050;Ilicínea
2024;Municipal;31;MG;313055;Imbé de Minas
2024;Municipal;31;MG;313060;Inconfidentes
2024;Municipal;31;MG;313065;Indaiabira
2024;Municipal;31;MG;313070;Indianópolis
2024;Municipal;31;MG;313080;Ingaí
2024;Municipal;31;MG;313090;Inhapim
2024;Municipal;31;MG;313100;Inhaúma
2024;Municipal;31;MG;313110;Inimutaba
2024;Municipal;31;MG;313115;Ipaba
2024;Municipal;31;MG;313120;Ipanema
2024;Municipal;31;MG;313130;Ipatinga
2024;Municipal;31;MG;313140;Ipiaçu
2024;Municipal;31;MG;313150;Ipuiúna
2024;Municipal;31;MG;313160;Iraí de Minas
2024;Municipal;31;MG;313170;Itabira
2024;Municipal;31;MG;313180;Itabirinha
2024;Municipal;31;MG;313190;Itabirito
2024;Municipal;31;MG;313200;Itacambira
2024;Municipal;31;MG;313210;Itacarambi
2024;Municipal;31;MG;313220;Itaguara
2024;Municipal;31;MG;313230;Itaipé
2024;Municipal;31;MG;313240;Itajubá
2024;Municipal;31;MG;313250;Itamarandiba
2024;Municipal;31;MG;313260;Itamarati de Minas
2024;Municipal;31;MG;313270;Itambacuri
2024;Municipal;31;MG;313280;Itambé do Mato Dentro
2024;Municipal;31;MG;313290;Itamogi
2024;Municipal;31;MG;313300;Itamonte
2024;Municipal;31;MG;313310;Itanhandu
2024;Municipal;31;MG;313320;Itanhomi
2024;Municipal;31;MG;313330;Itaobim
2024;Municipal;31;MG;313340;Itapagipe
2024;Municipal;31;MG;313350;Itapecerica
2024;Municipal;31;MG;313360;Itapeva
